Name,Gender,Origin
Abid,M,"{""BA"":""4"",""SA/IR"":""4""}"
Abida,F,"{""BA"":""1"",""SA/IR"":""2""}"
Abidin,M,"{""TR"":""3""}"
Abigaël,F,"{""FR"":""1""}"
Abigaëlle,F,"{""FR"":""1""}"
Abigail,F,"{""GB"":""3"",""IE"":""1"",""US"":""4"",""BE"":""1""}"
Abigale,F,"{""US"":""1""}"
Abigayle,F,"{""GB"":""1"",""US"":""1""}"
Abilia,F,"{""ES"":""1""}"
Abília,F,"{""PT"":""1""}"
Abilio,M,"{""ES"":""2""}"
Abílio,M,"{""PT"":""5""}"
Abir,F,"{""SA/IR"":""6""}"
Abla,F,"{""SA/IR"":""5""}"
Ablah,F,"{""SA/IR"":""3""}"
Abner,M,"{""US"":""1""}"
Abraão,M,"{""PT"":""1""}"
Abraham,M,"{""GB"":""1"",""IE"":""1"",""US"":""3"",""ES"":""2"",""BE"":""1"",""NL"":""1"",""DE"":""1"",""AT"":""1"",""CH"":""1"",""IL"":""6""}"
Abram,M,"{""US"":""1"",""FI"":""1"",""AM"":""1""}"
Abramina,F,"{""IT"":""1""}"
Abramo,M,"{""IT"":""2""}"
Abrar,M,"{""SA/IR"":""1""}"
Abrytha,F,"{""US"":""1""}"
Abu,M,"{""SA/IR"":""3""}"
Abu Bakr,M,"{""SA/IR"":""2""}"
Abubekir,M,"{""TR"":""2""}"
Abuzar,M,"{""AZ"":""1""}"
Abuzer,M,"{""TR"":""1""}"
Aby,F,"{""FR"":""1""}"
Abygaël,F,"{""FR"":""1""}"
Abygaëlle,F,"{""FR"":""1""}"
Aca,M,"{""ME"":""1"",""RS"":""3""}"
Acacio,M,"{""ES"":""1""}"
Acácio,M,"{""PT"":""4""}"
Accursia,F,"{""IT"":""1""}"
Accursio,M,"{""IT"":""1""}"
Achaz,M,"{""DE"":""1""}"
Achicam,M,"{""IL"":""1""}"
Achikam,M,"{""IL"":""1""}"
Achilina,F,"{""RO"":""1""}"
Achille,M,"{""IT"":""4"",""MT"":""1"",""FR"":""1"",""BE"":""3"",""LU"":""1"",""CH"":""1""}"
Achilleas,M,"{""GR"":""5""}"
Achillefs,M,"{""GR"":""2""}"
Achim,M,"{""East Frisia"":""4"",""DE"":""5"",""AT"":""1"",""CH"":""1"",""RO"":""2""}"
Achiropita,F,"{""IT"":""1""}"
Achraf,M,"{""SA/IR"":""1""}"
Acilino,M,"{""PT"":""2""}"
Acim,M,"{""RS"":""1""}"
Acke,M,"{""SE"":""1""}"
Acko,M,"{""RS"":""1""}"
Aco,M,"{""BA"":""4"",""MK"":""7"",""RS"":""2""}"
Aculina,F,"{""MD"":""1""}"
Acúrcio,M,"{""PT"":""1""}"
Ad,M,"{""NL"":""6""}"
Ada,F,"{""GB"":""5"",""US"":""2"",""IT"":""6"",""FR"":""1"",""BE"":""1"",""LU"":""1"",""NL"":""4"",""East Frisia"":""2"",""CH"":""2"",""NO"":""1"",""LV"":""1"",""RO"":""3"",""AL"":""4"",""MD"":""3"",""AZ"":""4"",""IL"":""6""}"
Adair,?M,"{""GB"":""1""}"
Adakras,M,"{""LT"":""1""}"
Adalbert,M,"{""East Frisia"":""3"",""DE"":""2"",""AT"":""3"",""CH"":""1"",""RO"":""2""}"
Adalberta,F,"{""IT"":""1"",""AT"":""1""}"
Adalberto,M,"{""IT"":""2"",""PT"":""2"",""ES"":""1""}"
Aðalbjörg,F,"{""IS"":""5""}"
Aðalbjörn,M,"{""IS"":""3""}"
Adalciza,F,"{""RO"":""1""}"
Adalet,F,"{""AZ"":""2"",""TR"":""3""}"
Aðalgeir,M,"{""IS"":""2""}"
Adalgira,F,"{""PT"":""1""}"
Adalgisa,F,"{""IT"":""3"",""PT"":""1""}"
Adalgiso,M,"{""IT"":""1""}"
Aðalheiður,F,"{""IS"":""7""}"
Adalmiina,F,"{""FI"":""1""}"
Aðalsteinn,M,"{""IS"":""6""}"
Adam,M,"{""GB"":""5"",""IE"":""3"",""US"":""6"",""East Frisia"":""3"",""DE"":""2"",""AT"":""3"",""CH"":""1"",""IS"":""3"",""DK"":""3"",""SE"":""3"",""PL"":""8"",""CZ"":""3"",""SK"":""4"",""RO"":""2"",""BA"":""3"",""GR"":""2"",""IL"":""4""}"
Ádám,M,"{""HU"":""4""}"
Adama,F,"{""IT"":""1""}"
Adamantia,F,"{""GR"":""4""}"
Adamantini,F,"{""GR"":""1""}"
Adamantios,M,"{""GR"":""2""}"
Adamira,F,"{""BA"":""1""}"
Adamo,M,"{""IT"":""3"",""CH"":""1""}"
Adan,M,"{""US"":""1""}"
Adán,M,"{""ES"":""1""}"
Adaniel,M,"{""RO"":""1""}"
Adão,M,"{""PT"":""2""}"
Adar,M,"{""IL"":""1""}"
Adarsh,?,"{""IN/LK"":""2""}"
Adda,F,"{""East Frisia"":""2"",""IS"":""4"",""DK"":""1""}"
Addi,F,"{""DK"":""1""}"
Addie,F,"{""US"":""1"",""DK"":""1""}"
Addison,?,"{""US"":""1""}"
Addolorata,F,"{""IT"":""4""}"
Addolorato,M,"{""IT"":""1""}"
Addy,F,"{""DK"":""1""}"
Ade,F,"{""EE"":""1""}"
Adea,F,"{""AL"":""1""}"
Adeele,F,"{""EE"":""1""}"
Adel,M,"{""AZ"":""2"",""SA/IR"":""6""}"
Adela,F,"{""IT"":""1"",""ES"":""5"",""DE"":""1"",""AT"":""1"",""CH"":""1"",""DK"":""1"",""PL"":""3"",""SK"":""3"",""RO"":""5"",""BG"":""1"",""BA"":""5"",""HR"":""2"",""SI"":""3"",""AL"":""4"",""MD"":""2"",""IL"":""2""}"
Adéla,F,"{""CZ"":""3""}"
Adelaida,F,"{""ES"":""3"",""RO"":""2"",""MD"":""3""}"
Adelaide,F,"{""GB"":""2"",""US"":""1"",""IT"":""4"",""PT"":""6"",""CH"":""1""}"
Adélaïde,F,"{""FR"":""2"",""BE"":""1"",""CH"":""1""}"
Adelaïde,F,"{""CH"":""1""}"
Adelaido,M,"{""ES"":""1""}"
Adelajde,F,"{""AL"":""1""}"
Adelbert,M,"{""East Frisia"":""2"",""DE"":""1"",""AT"":""1"",""CH"":""1""}"
Adelchi,M,"{""IT"":""1""}"
Adele,F,"{""GB"":""3"",""US"":""2"",""IT"":""6"",""East Frisia"":""4"",""DE"":""2"",""AT"":""4"",""CH"":""2"",""DK"":""1"",""NO"":""1""}"
Adelė,F,"{""LT"":""5""}"
Adèle,F,"{""FR"":""3"",""BE"":""3"",""NL"":""1"",""CH"":""1""}"
Adéle,F,"{""SE"":""1""}"
Adelfa,F,"{""IT"":""1""}"
Adelfo,M,"{""IT"":""1""}"
Adelfried,M,"{""DE"":""1""}"
Adelgund,F,"{""East Frisia"":""1"",""DE"":""1""}"
Adelgunde,F,"{""East Frisia"":""2"",""DE"":""1"",""AT"":""1""}"
Adelhard,M,"{""DE"":""1""}"
Adelheid,F,"{""East Frisia"":""5"",""DE"":""5"",""AT"":""6"",""CH"":""4""}"
Adelheide,F,"{""DE"":""1""}"
Adelia,F,"{""IT"":""3"",""ES"":""1""}"
Adélia,F,"{""PT"":""4""}"
Adélie,F,"{""FR"":""1""}"
Adelin,M,"{""FR"":""1""}"
Adelina,F,"{""IT"":""4"",""PT"":""4"",""ES"":""3"",""DE"":""1"",""CH"":""2"",""RO"":""3"",""BG"":""2"",""Kosovo"":""6"",""ME"":""1"",""AL"":""6""}"
Adelinda,F,"{""IT"":""1"",""PT"":""1""}"
Adelinde,F,"{""DE"":""1"",""AT"":""2""}"
Adelindo,M,"{""IT"":""1""}"
