Name,Gender,Origin
Abad,M,"{""Spain"":""1""}"
Abagail,F,"{""United States"":""1""}"
Abai,M,"{""Kazakhstan, Uzbekistan, etc."":""3""}"
Abas,M,"{""Azerbaijan"":""1""}"
Abay,M,"{""Kazakhstan, Uzbekistan, etc."":""5""}"
Abaz,M,"{""Bosnia and Herzegovina"":""4"",""Kosovo"":""4"",""Albania"":""4""}"
Abbas,M,"{""Azerbaijan"":""4"",""Turkey"":""4"",""Arabia/Persia"":""7""}"
Abbe,F,"{""United States"":""1""}"
Abbey,F,"{""Great Britain"":""1"",""United States"":""1""}"
Abbie,F,"{""Great Britain"":""1"",""United States"":""1""}"
Abbigail,F,"{""United States"":""1""}"
Abbo,M,"{""East Frisia"":""2""}"
Abbondanza,F,"{""Italy"":""1""}"
Abbondanzio,M,"{""Italy"":""1""}"
Abbondio,M,"{""Italy"":""1""}"
Abby,F,"{""Great Britain"":""1"",""United States"":""2""}"
Abd,M,"{""Arabia/Persia"":""2""}"
Abdal,M,"{""Arabia/Persia"":""5""}"
Abdalla,M,"{""Arabia/Persia"":""5""}"
Abdallah,M,"{""Arabia/Persia"":""6""}"
Abdal Salam,M,"{""Arabia/Persia"":""1""}"
Abdel,M,"{""Kazakhstan, Uzbekistan, etc."":""2"",""Arabia/Persia"":""6""}"
Abdel Aziz,M,"{""Arabia/Persia"":""5""}"
Abdel Fattah,M,"{""Arabia/Persia"":""2""}"
Abdel Ghani,M,"{""Arabia/Persia"":""2""}"
Abdel Hafid,M,"{""Arabia/Persia"":""2""}"
Abdel Hafiz,M,"{""Arabia/Persia"":""2""}"
Abdel Hak,M,"{""Arabia/Persia"":""2""}"
Abdel Hakim,M,"{""Arabia/Persia"":""2""}"
Abdel Halim,M,"{""Arabia/Persia"":""2""}"
Abdel Hamid,M,"{""Arabia/Persia"":""2""}"
Abdelilah,M,"{""Arabia/Persia"":""4""}"
Abdel Kader,M,"{""Arabia/Persia"":""4""}"
Abdel Karim,M,"{""Arabia/Persia"":""4""}"
Abdellah,M,"{""Arabia/Persia"":""4""}"
Abdel Latif,M,"{""Arabia/Persia"":""4""}"
Abdel Majid,M,"{""Arabia/Persia"":""2""}"
Abdel Rahman,M,"{""Arabia/Persia"":""2""}"
Abder Rahim,M,"{""Arabia/Persia"":""3""}"
Abder Rahman,M,"{""Arabia/Persia"":""3""}"
Abder Rahmane,M,"{""Arabia/Persia"":""3""}"
Abder Razak,M,"{""Arabia/Persia"":""3""}"
Abdeslam,M,"{""Arabia/Persia"":""3""}"
Abdi,M,"{""Kosovo"":""2"",""Albania"":""2"",""Turkey"":""2"",""Arabia/Persia"":""2""}"
Abdija,M,"{""Bosnia and Herzegovina"":""1""}"
Abdo,M,"{""Arabia/Persia"":""4""}"
Abdol Karim,M,"{""Arabia/Persia"":""2""}"
Abdol Reza,M,"{""Arabia/Persia"":""2""}"
Abdol Saleh,M,"{""Arabia/Persia"":""2""}"
Abdon,M,"{""Spain"":""1""}"
Abdorassoul,M,"{""Arabia/Persia"":""1""}"
Abdou,M,"{""Arabia/Persia"":""4""}"
Abdoul,M,"{""Arabia/Persia"":""5""}"
Abdu,M,"{""Arabia/Persia"":""4""}"
Abdülhalim,M,"{""Turkey"":""2""}"
Abdülhamid,M,"{""Turkey"":""1""}"
Abdülkadir,M,"{""Turkey"":""3""}"
Abdülkerim,M,"{""Turkey"":""1""}"
Abdüllatif,M,"{""Turkey"":""1""}"
Abdülsamet,M,"{""Turkey"":""1""}"
Abduh,M,"{""Arabia/Persia"":""1""}"
Abdul,M,"{""Kosovo"":""3"",""Albania"":""3"",""Azerbaijan"":""2"",""Kazakhstan, Uzbekistan, etc."":""2"",""Turkey"":""4"",""Arabia/Persia"":""8""}"
Abdulah,M,"{""Bosnia and Herzegovina"":""6"",""Montenegro"":""2""}"
Abdul Ahad,M,"{""Arabia/Persia"":""1""}"
Abdul Azim,M,"{""Arabia/Persia"":""1""}"
Abdul Aziz,M,"{""Arabia/Persia"":""4""}"
Abdul Bagi,M,"{""Arabia/Persia"":""2""}"
Abdulbaki,M,"{""Turkey"":""2""}"
Abdul Basit,M,"{""Arabia/Persia"":""2""}"
Abdulcabbar,M,"{""Turkey"":""1""}"
Abdul Ghani,M,"{""Arabia/Persia"":""2""}"
Abdul Hadi,M,"{""Arabia/Persia"":""2""}"
Abdul Hafiz,M,"{""Arabia/Persia"":""2""}"
Abdulhakim,M,"{""Turkey"":""1""}"
Abdul Hakim,M,"{""Arabia/Persia"":""2""}"
Abdul Halim,M,"{""Arabia/Persia"":""3""}"
Abdul Hamid,M,"{""Arabia/Persia"":""3""}"
Abdul Haq,M,"{""Arabia/Persia"":""2""}"
Abdulilah,M,"{""Arabia/Persia"":""3""}"
Abdul Jabbar,M,"{""Arabia/Persia"":""2""}"
Abdulkader,M,"{""North Macedonia"":""1""}"
Abdul Kader,M,"{""Arabia/Persia"":""4""}"
Abdulkadir,M,"{""Turkey"":""4""}"
Abdul Kadir,M,"{""Arabia/Persia"":""4""}"
Abdulkadyr,M,"{""Kazakhstan, Uzbekistan, etc."":""1""}"
